victim.country.,actor.external.country.,actor.partner.country.,action.hacking.vector.,action.malware.vector.,action.misuse.vector.,action.physical.vector.,action.social.vector.,victim.industry2.
US,,,,,Physical access,,,92
US,,,,,,,,62
US,,,,,LAN access,,,92
AU,,,,,LAN access,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,,Email,62
US,,,,,Non-corporate,,,62
US,,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,62
US,,,,,LAN access,Partner facility,,62
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,,,,,,,,44
US,,US,,,Physical access,,,92
US,,,,,,Privileged access,,62
ET,RU,,Backdoor or C2,Email attachment,,,Email,00
US,,,,,,,,92
US,Unknown,,,,,Unknown,,56
US,,,,,,Unknown,,92
US,,,,,,,,92
US,,,,,,,,62
BE,Unknown,,Web application,,,,,52
US,Unknown,,Web application,,,,,92
US,,,,,Physical access,,,92
CO,Unknown,,Unknown,Direct install,LAN access,Victim secure area,,92
US,Unknown,,,,,Personal vehicle,,92
US,,,,,Physical access,,,92
US,,,,,LAN access,,,92
US,,,,,,,,56
US,,,,,LAN access,,,92
US,Unknown,,,,,Victim work area,,56
US,,,,,LAN access,,,62
US,,,,,,,,00
US,,,,,LAN access,,,92
US,,,,,LAN access,,,92
US,Unknown,,Web application,,,,,61
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,,LAN access,,Unknown,62
US,,,,,,,,62
CA,,,,,LAN access,,,92
CA,,,,,,,,92
AU,,,,,,,,52
CA,,,,,,,,62
Unknown,Unknown,,Unknown,,,,,51
US,,,,,,,,62
US,Unknown,,,,,Personal residence,,92
DE,Unknown,,,,,,Email,33
US,ID,,Web application,,,,,92
US,,US,,,,Victim work area,,62
US,,,,,LAN access,,,62
GB,,,,,,,,92
US,US,,,,,Personal vehicle,,92
US,,Unknown,,,Unknown,,,92
GB,Unknown,,Unknown,,,,,52
US,Unknown,,,,,Victim grounds,,52
US,,,,,,,,61
US,,US,,,,,,62
IE,Unknown,,,,,Personal residence,,62
US,,,,,,,,92
IN,PK,,Web application,,,,,81
CA,,,,,,,,92
US,,,,,LAN access,Victim work area,,62
US,GB,,Backdoor or C2,Web drive-by,,,Email,51
US,Unknown,,Unknown,,,,,62
US,Unknown,,,,,Unknown,,52
BW,,,,,,Victim secure area,,92
US,,,,,,,,92
US,,,,,,,,52
US,UA,,Web application,,,,,52
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,Unknown,,,,,51
US,,,,,LAN access,,,52
US,,,,,,,,52
TW,Unknown,,,Email attachment,,,Email,00
US,Unknown,,,,,,,92
US,Unknown,,,,,Partner facility,,92
US,,,,,,,,92
TR,TR,,Web application,,,,,92
JP,,Unknown,,,,,,52
US,,Unknown,,,,,,51
US,Unknown,,Unknown,,,,,33
US,,,,,,,,62
US,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,62
US,,,,,Non-corporate,,,48
US,,,,,LAN access,,,62
US,Unknown,,,,,Unknown,,62
EC,SY,,Web application,,,,,92
US,Unknown,,Web application,,,,,54
US,,Unknown,,,,,,52
RU,,,,,LAN access,,,52
US,,,,,,,,92
US,Unknown,,,Unknown,,,,61
AU,Unknown,,,,,,,53
US,,,,,,,,62
US,,,,,,,,92
US,Unknown,,Web application,,,,,54
US,Unknown,,Web application,Unknown,,,,92
US,,,,,,,,92
US,,,,,,,,62
US,Unknown,,Unknown,,,,,62
US,,,,,,,,92
US,,,,,Remote access,,,52
US,,,,,LAN access,,,92
GB,Unknown,,,,,,In-person,62
TH,Unknown,,Web application,,,,,92
US,,,,,,Victim secure area,,62
CH,,,,,,,,52
Unknown,Unknown,,Web application,,,,,52
US,,,,,Physical access,Victim grounds,,62
US,Unknown,,Web application,Direct install,,,,61
US,,,,,,,,54
US,,,,,LAN access,,,92
US,,,,,,,,62
US,,,,,,,,62
US,,,,,,,,62
US,Unknown,,Unknown,,,,,92
US,,,,,LAN access,Public facility,,52
CA,,,,,,,,62
US,Unknown,,,,,Personal vehicle,,44
CN,Unknown,,Web application,,,,,51
US,Unknown,,Web application,,,,,52
US,Unknown,,,Unknown,,,,81
US,Unknown,,,,,Unknown,,62
CA,,,,,,,,62
CA,,,,,LAN access,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,Desktop sharing,,,,,62
US,,,,,,,,62
US,Unknown,,,,,Personal vehicle,,32
US,Unknown,,,,,,Email,62
US,,,,,,,,54
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Victim grounds,,44
US,,,,,LAN access,,,62
US,,,,,,,,62
US,,,,,,,,92
US,Unknown,,Web application,,,,,33
US,,,,,,,,62
US,,,,,,,,62
US,,,,,,,,92
US,,,,,Non-corporate,Personal residence,,62
US,,,,,,,,92
US,,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,71
US,,,,,,,,92
US,,,,,,,,54
GB,Unknown,,Web application,,,,,61
US,,Unknown,,,,,,61
US,RU,,Unknown,,,,,53
US,Unknown,,,,,,,54
GB,,,,,Physical access,,,92
CH,,,,,,,,62
US,Unknown,,Physical access,,,Public facility,,92
Unknown,Unknown,,Backdoor or C2,Email attachment,,,Email,92
GB,,,,,,,,56
US,Unknown,,,,,Victim work area,,62
US,,,,,Physical access,,,62
RU,Unknown,,Backdoor or C2,Email attachment,,,Email,92
UM,,,,,Physical access,,,62
NG,Unknown,,Web application,,,,,61
US,,,,,LAN access,,,62
NZ,,,,,,,,62
US,,,,,Physical access,,,92
US,,,,,,,,92
US,,,,,,,,62
TJ,IR,,Web application,,,,,92
AU,,,,,,,,61
Unknown,Unknown,,,,,Unknown,,00
AE,Unknown,,Unknown,,,,,52
US,,,,,,,,51
US,,Unknown,,,Physical access,,,22
US,Unknown,,,,,,Email,62
US,,,,,,,,62
IN,,,,,,,,62
US,,Unknown,,,,,,62
US,,,,,,,,92
Unknown,Unknown,,Web application,Direct install,,,,00
DE,Unknown,,Unknown,,,,,52
US,Unknown,,,,,Unknown,,62
IL,,,,,,,,62
US,,,,,LAN access,,,92
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,Unknown,,,,51
US,,,,,,,,92
GB,,,,,Physical access,,,62
US,,,,,LAN access,,,92
US,Unknown,,Other,,,,,62
Unknown,,,,,LAN access,Victim work area,,00
AU,,,,,,,,81
NZ,,,,,,,,62
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,62
US,Unknown,,Unknown,,,,,81
CL,CA,,Unknown,,,,,92
US,Unknown,,,,,Victim secure area,,92
US,Unknown,,,,,Personal vehicle,,92
AU,AU,,Web application,,,,,61
US,,,,,Physical access,,,62
US,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,62
US,Unknown,,,,,Victim work area,,62
SY,SY,,Web application,,,,,00
US,Unknown,,Unknown,,,,,61
US,,,,,LAN access,,,52
US,,,,,LAN access,,,92
US,US,,Backdoor or C2,,,,,92
IL,Unknown,,,,,Personal vehicle,,92
US,,Unknown,,,,,,92
IE,Unknown,,Unknown,,,,,51
FR,Unknown,,Backdoor or C2,Web drive-by,,,,33
GB,GB,,,,,Victim public area,,52
US,,,,,,,,92
CA,,Unknown,,,,,,62
US,,,,,,,,92
US,,,,,LAN access,,,92
CA,Unknown,,,,,Unknown,,00
US,Unknown,,Web application,,,,Email,62
GB,Unknown,,Web application,,,,,51
US,,,,,,,,51
US,,,,,Physical access,,,54
US,Unknown,,Web application,,,,,51
Unknown,Unknown,,,,,Unknown,,44
US,US,,,,,Personal vehicle,,44
IE,,,,,,,,92
US,,,,,LAN access,,,92
GB,,,,,,,,61
RO,Unknown,,Unknown,,,,,22
US,,,,,,,,92
SG,Unknown,,Unknown,,,,,72
US,,,,,Remote access,,,44
US,CN,,Unknown,,,,,92
CA,,,,,,,,92
PK,,,,,Physical access,,,62
NO,,,,,LAN access,,,62
US,ET,,,Email attachment,,,Email,81
US,Unknown,,Web application,,,,Email,00
US,,,,,,,,81
US,Unknown,,Web application,,,,,45
US,SY,,,,,,,54
US,,,,,,,,92
IE,,,,,,,,52
US,Unknown,,,,,Unknown,,62
US,Unknown,,Unknown,,,,Email,44
US,Unknown,,,,,Unknown,,62
US,,,,,,,,92
US,,,,,LAN access,,,52
CA,,,,,LAN access,,In-person,62
US,,,,,Physical access,,,72
US,,,,,,,,92
KP,Unknown,,Web application,,,,,00
US,Unknown,,Web application,,,,,51
EC,,,,,,,,51
US,,,,,,,,62
US,,US,,,LAN access,,,62
US,,,Unknown,,,,,61
US,Unknown,,,,,Personal residence,,52
JP,IN,,Unknown,,,,,33
US,Unknown,,Unknown,,,,,92
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,Web application,,,,,61
US,,,,,Physical access,,,62
GB,,,,,,,,62
US,Unknown,,,Unknown,,,,62
GB,,,,,,,,62
US,,,,,,,,42
US,Unknown,,,,,,,52
IN,IN,,,,,Unknown,,00
US,Unknown,,,Unknown,,,,71
GB,,,,,,,,52
US,Unknown,,,,,Personal vehicle,,54
US,,,,,Unknown,,,56
US,Unknown,,Unknown,,,,,51
US,,,,,LAN access,,,62
GB,,,,,Physical access,,,62
US,,,,,,,,52
IN,PK,,,Email attachment,,,Email,92
US,Unknown,,Web application,,,,,51
NZ,,,,,,,,61
KR,,,,,Unknown,,,92
US,US,,Web application,,,,,81
US,,,,,,,,92
FR,Unknown,,Unknown,,,,,51
Unknown,,,,,,,,62
US,,,,,,,,92
NZ,Unknown,,,,,Victim work area,,92
Unknown,Unknown,,Unknown,,,,,00
AE,Unknown,,Web application,,,,,51
US,Unknown,,Web application,,,,,61
PS,Unknown,,Unknown,,,,,51
US,Unknown,,,,,Personal vehicle,,62
US,,,,,LAN access,,,62
US,,,,,,,,51
US,Unknown,,,,,Unknown,,61
US,PR,,Unknown,,,,,92
GB,,,,,,,,81
US,,US,,,Physical access,,,62
CN,,,,,LAN access,,,62
GB,Unknown,,Backdoor or C2,Email attachment,,,Email,92
Unknown,Unknown,,Web application,,,,,56
US,,,,,,,,92
US,Unknown,,,,,Personal vehicle,,62
US,,,,,LAN access,,,92
US,Unknown,,Unknown,,,,,92
GB,Unknown,,,,LAN access,,In-person,92
US,,Unknown,,,,,,52
US,Unknown,,,,,Partner vehicle,,72
US,,,,,,,,52
US,CN,,Unknown,Unknown,,,,61
Unknown,Unknown,,Unknown,,,,,00
CA,Unknown,,Web application,,,,,52
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Victim grounds,,44
US,Unknown,,Unknown,,,,,61
US,Unknown,,,Unknown,,,,92
US,Unknown,,Unknown,,,,,51
US,,,,,Non-corporate,,,62
US,Unknown,,,,LAN access,,In-person,62
GB,,,,,Other,,,53
US,Unknown,,VPN,,,,,62
US,,,,,,,,92
IN,Unknown,,,,,,,56
US,,US,,,LAN access,,,61
US,,,,,LAN access,,,62
US,US,,,,Physical access,,In-person,56
US,,,,,Unknown,,,33
US,,Unknown,,,,,,52
CN,Unknown,,Unknown,,,,,71
US,,,,,,,,56
US,Unknown,,,Unknown,,,,72
US,Unknown,,,,,Unknown,,62
US,,,,,,,,62
US,Unknown,,,,,,,00
US,US,,,,,Public vehicle,,92
RS,,,,,Unknown,,,62
CA,Unknown,,,,,Victim secure area,,62
IE,Unknown,,,,,,In-person,44
US,Unknown,,,Unknown,,,,61
US,,,,,LAN access,,,21
US,,,,,,,,52
US,,,,,,,,92
US,,,,,,,,44
SG,BR,,Web application,,,,,81
CA,,,,,Physical access,,,62
US,Unknown,,Web application,,,,Email,62
US,Unknown,,,,Unknown,,In-person,62
US,Unknown,,Unknown,,,,,51
US,,,,,,,,92
US,,,,,,Victim work area,,32
PY,Unknown,,Web application,,,,,92
US,Unknown,,,,,Victim work area,,44
US,,US,,,,,,62
US,Unknown,,,,,Unknown,,62
US,IN,,Unknown,,,,,52
US,,,,,,,,92
FR,Unknown,,Unknown,,,,,51
CA,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,62
US,,Unknown,,,,,,52
CA,,,,,LAN access,,,92
US,,Unknown,,,,,,92
NZ,,,,,LAN access,,,92
US,,,,,,,,62
US,,,,,,Victim work area,,52
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,,,,,92
US,,,,,,,,62
US,,,,,LAN access,,,92
LK,Unknown,,Web application,,,,,56
US,Unknown,,,Unknown,,,,62
US,Unknown,,,,,Victim work area,,62
US,,,,,LAN access,,,61
US,Unknown,,Web application,,,,Documents,52
GB,Unknown,,,,,Victim work area,,81
US,Unknown,,,,,Victim public area,,52
US,,,,,,,,56
US,,,,,Non-corporate,,,62
Unknown,UA,,Web application,,,,,00
US,,,,,,,,51
AU,Unknown,,,,,,,51
US,,Unknown,,,,,,52
US,Unknown,,,,,,,62
US,US,,,,,,,44
US,Unknown,,,,,Unknown,,44
US,,,,,LAN access,,,92
US,PS,,Unknown,,,,,51
US,Unknown,,Web application,,,,,54
IL,IR,,Web application,,,,,51
US,Unknown,,Unknown,,,,,54
US,,,,,LAN access,,,62
US,,,,,Physical access,,,62
US,,,,,,,,92
US,Unknown,,Unknown,,,,,54
US,,,,,LAN access,,,72
JM,Unknown,,Web application,,,,,92
US,,,,,,,,81
US,US,,Web application,,,,,51
US,,,,,Physical access,,,72
JP,Unknown,,Web application,,,,,51
US,,,,,,,,62
DE,,,,,Unknown,,,92
GB,Unknown,,,,,Personal vehicle,,92
IN,Unknown,,,Email autoexecute,,,Email,52
US,,,,,,,,92
US,,IN,Web application,,Remote access,,,44
US,,,,,,,,61
US,,,,,,,,52
US,Unknown,,,,,Unknown,,92
US,Unknown,,Web application,,,,,42
US,Unknown,,Other,,,,,92
US,,,,,,,,62
US,Unknown,,,,LAN access,,In-person,56
US,,,,,,,,52
CA,,,,,,,,22
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,Web application,,,,,62
US,Unknown,,,,,Public facility,,44
US,,,,,,,,61
US,Unknown,,,,,Victim secure area,,62
US,,,,,,,,52
EG,Unknown,,Unknown,,,,,51
US,,,,,LAN access,,,62
US,,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,62
CA,Unknown,,Unknown,,,,,56
US,,,,,Unknown,,,52
US,,,,,,,,52
US,Unknown,,,,,Victim public area,,52
US,,,,,LAN access,,,92
US,,,,,,,,92
US,,,,,,Unknown,,62
US,Unknown,,Unknown,,,,,92
US,,,,,LAN access,,,62
US,,,,,,,,62
US,,US,,,,,,52
KR,KP,,Backdoor or C2,Email attachment,,,Email,00
CA,,,,,,,,62
US,,,,,,,,92
US,,,,,,,,62
US,Unknown,,,,,Public facility,,62
US,,,,,,,,92
ES,Unknown,,Web application,,,,,92
US,US,,,,LAN access,,Unknown,62
US,Unknown,,,,,Public facility,,44
US,Unknown,,Unknown,,,,,92
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,,Unknown,,,,22
US,,,,,,,,62
US,ID,,Web application,,,,,92
CA,,,Unknown,,LAN access,Partner facility,,62
US,US,,,,,Victim grounds,,52
GB,Unknown,,Unknown,,,,,72
US,,,,,,,,92
NZ,,,,,,,,92
IL,,,,,Physical access,,,92
DE,,,,,,,,51
TR,Unknown,,Unknown,,,,,51
GB,Unknown,,Web application,,,,,33
Unknown,IR,,Web application,,,,,00
JP,Unknown,,Web application,,,,,33
CA,,,,,Unknown,,,52
US,,,,,Physical access,,,81
US,,Unknown,,,LAN access,,,52
US,,,,,LAN access,,,52
IR,Unknown,,,,,,,21
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Personal vehicle,,56
US,Unknown,,,Unknown,,,,52
US,Unknown,,Unknown,,,,,62
CA,CA,,,,,Partner facility,,62
Unknown,,,,,Physical access,,,00
US,Unknown,,Web application,,,,,51
US,,US,,,,,,52
CA,,,,,LAN access,,,62
IN,Unknown,,Backdoor or C2,,,,,72
US,Unknown,,,,Physical access,,,23
US,,,,,,,,92
US,,,,,,,,33
US,,,,,,,,92
NZ,,,,,,,,62
US,,,,,,,,92
US,,,,,LAN access,,,92
US,,,,,,,,92
US,Unknown,,,,,Victim work area,,61
US,Unknown,,Unknown,Unknown,,,,62
US,,,,,,,,61
CA,Unknown,,Web application,,,,,61
US,,,,,Physical access,,,62
US,Unknown,,Web application,,,,Email,52
PH,Unknown,,Unknown,,,,,61
US,Unknown,,,,,Victim work area,,62
LV,Unknown,,Backdoor or C2,Email attachment,,,Email,92
IN,PK,,Web application,,,,,51
US,,,,,,,,62
US,,,,,,,,92
US,,,,,LAN access,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,Web application,,,,,61
US,Unknown,,Unknown,,,,,62
US,,Unknown,,,,,,92
US,Unknown,,,,,Unknown,,62
Unknown,Unknown,,Other,,,,,00
US,,,,,,,,92
BW,RU,,Backdoor or C2,Email attachment,,,Email,92
CN,Unknown,,Web application,,,,,51
AU,Unknown,,Web application,,,,,31
US,,,,,Physical access,,,49
US,,,,,,,,62
US,Unknown,,Web application,,,,,92
US,,,,,,,,92
IL,IR,,Unknown,,,,,56
US,Unknown,,,Unknown,,,,44
ID,Unknown,,Unknown,Unknown,,,,52
GB,Unknown,,,,,Personal residence,,92
US,,,,,,Victim work area,,72
US,,,,,LAN access,Victim work area,,54
GB,,,,,LAN access,,,62
US,Unknown,,,,,,,56
US,,,,,LAN access,,,92
AU,,,,,,,,92
IN,,,,,Physical access,,,33
US,,,,,,,,92
GB,Unknown,,,,,Victim public area,,52
US,,,,,,,,54
IR,Unknown,,Web application,,Unknown,,,51
IN,Unknown,,Other,Unknown,,,,72
US,,,,,LAN access,,,54
GB,,,,,,,,62
US,,,,,LAN access,,,23
US,,,,,,,,92
US,US,,,,,,,71
GB,Unknown,,,,,Victim public area,,52
US,Unknown,,Web application,,,,,51
US,,,,,,,,92
KR,KP,,Backdoor or C2,Direct install,,,Email,52
US,,,,,,,,92
CA,,,,,LAN access,,,62
US,,,,,,,,52
US,,,,,,,,51
SE,,Unknown,,,,,,52
NZ,NZ,,,,,Victim public area,,33
US,Unknown,,Web application,,,,,56
US,,,,,,,,92
US,,,,,Physical access,,,45
US,Unknown,,,Email link,,,Email,62
US,,,,,LAN access,,,92
US,,,,,,,,92
US,,,,,LAN access,,,62
US,Unknown,,,Unknown,,,,62
US,,,,,LAN access,,,92
HK,Unknown,,Web application,,,,,52
US,,,,,LAN access,,,92
TW,Unknown,,,,,,,56
US,,,,,,,,62
US,,,,,LAN access,,,61
US,Unknown,,,,,,,51
PR,Unknown,,,,,Unknown,,62
GB,,,,,,,,92
JP,Unknown,,Web application,,,,,55
AU,,,,,,,,71
KE,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Web application,,,,,56
US,,,,,,,,92
US,,,,,Unknown,,,92
Unknown,,,,,,,,00
US,,,,,LAN access,,,62
US,,,,,LAN access,,,62
US,US,,,,,Victim work area,,45
PK,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,62
GB,Unknown,,Unknown,,,,,71
US,,,,,,,,62
US,,,,,,,,92
AU,US,,,,,,Email,61
US,Unknown,,,,,Unknown,,81
US,,Unknown,,,,,,52
US,Unknown,,Unknown,,,,,52
US,Unknown,,,,,Unknown,,62
US,Unknown,,Unknown,Unknown,,,,42
US,,,,,,,,62
Unknown,,,,,,,,62
US,IL,,Web application,,,,,54
US,Unknown,,Unknown,,,,,81
US,,,,,,,,92
US,Unknown,,,,,Victim work area,,61
US,SY,,Web application,,,,,92
US,,,,,Physical access,,,62
US,,,,,,,,92
GB,,,,,,,,56
US,Unknown,,,,,Public facility,,44
CA,,,,,LAN access,,,62
US,,,,,LAN access,,,92
US,,,,,LAN access,,,62
US,Unknown,,Other,,,,Email,92
BR,BR,,Web application,,,,,00
IL,CN,,Web application,,,,,61
US,Unknown,,,,,Personal vehicle,,92
US,US,,,,,,Documents,52
US,,,,,,,,61
GB,,,,,,,,92
US,Unknown,,Unknown,,,,,51
US,US,,,,,Victim public area,,61
KR,Unknown,,Unknown,,,,,92
US,,,,,,Partner facility,,52
US,Unknown,,Web application,,,,,45
US,,,,,,,,61
US,,,,,LAN access,,,33
Unknown,PK,,Web application,,,,,51
US,,,,,,,,52
US,,,,,,,,92
GB,Unknown,,Web application,,,,,92
AU,,,,,,,,62
US,Unknown,,,Unknown,,,,61
TR,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Web application,Unknown,,,Email,61
US,,,,,,,,92
PK,Unknown,,Web application,,,,,61
IL,Unknown,,Web application,,,,,54
US,,,,,LAN access,,,62
US,,,,,LAN access,,,92
GB,Unknown,,Web application,,,,,51
US,Unknown,,,,,Unknown,,62
TH,,,,,LAN access,,,92
ES,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,US,,,,,,Phone,45
US,,,,,LAN access,,,54
US,Unknown,,,,,Victim grounds,,44
IL,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Unknown,,,,,54
US,Unknown,,Unknown,,,,,61
US,,,,,,,,92
GB,Unknown,,Web application,,,,,51
US,CN,,Web application,,,,,44
US,,,,,,,,62
US,Unknown,,,,,Personal vehicle,,32
US,Unknown,,,,,Unknown,,44
US,,,,,,,,61
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,Unknown,,,,,52
US,US,,,,,Victim secure area,,44
JP,Unknown,,,,,,,92
ZA,,,,,,,,51
US,Unknown,,,Direct install,,,,44
US,,,,,,,,61
US,Unknown,,,,,Unknown,,61
US,,,,,,,,92
MK,RU,,Backdoor or C2,Email attachment,,,Email,00
US,PS,,,,,,Unknown,54
Unknown,Unknown,,Web application,,,,,51
US,,,,,LAN access,,,92
US,,,,,,,,62
US,Unknown,,,,,Personal residence,,31
JP,,,,,,,,92
BE,Unknown,,,,,,,92
US,,,,,,,,92
US,Unknown,,,,,,,62
US,,,,,LAN access,,,92
US,,,,,Unknown,,,54
US,,,,,Physical access,,,62
IN,Unknown,,Web application,,,,,92
US,US,,,,,,,61
US,,,,,,,,61
US,,,,,,,,62
US,Unknown,,,,Physical access,Partner facility,,62
US,,,,,LAN access,,,92
NZ,,,,,LAN access,,,92
AU,,,,,,,,62
US,,,,,,,,62
RW,SY,,Web application,,,,,52
GB,Unknown,,Web application,,,,,72
AR,Unknown,,Web application,,,,,51
US,Unknown,,Unknown,Unknown,,,,44
US,Unknown,,,,,Unknown,,62
AU,Unknown,,Web application,,,,,61
US,TR,,,,,Victim public area,,52
US,Unknown,,,,,Personal vehicle,,62
US,,,,,,,,92
US,US,,,,,Victim public area,,44
US,,,,,,,,92
US,,,,,LAN access,,,92
US,,,,,,,,62
DE,Unknown,,,,,Personal residence,,62
US,,,,,,,,62
US,,,,,,,,62
US,,,,,LAN access,,,54
US,,,,,,,,62
US,,,,,LAN access,,,44
US,Unknown,,,,,Victim work area,,56
GB,Unknown,,,,,Personal residence,,21
US,Unknown,,,,,Unknown,,62
CA,Unknown,,Web application,,,,,72
US,,,,,Physical access,,,62
US,TR,,Web application,,,,,92
US,,,,,,,,92
US,CN,,Web application,Direct install,,,,81
US,Unknown,,,,,Personal vehicle,,62
US,,,Web application,,,,,61
US,US,,,,,Victim work area,,62
US,,,,,,,,92
Unknown,US,,,,,Personal vehicle,,00
US,,,,,Unknown,,,61
US,Unknown,,,Unknown,,,,33
US,,,,,LAN access,,,51
US,,,,,,,,62
Unknown,Unknown,,Web application,,,,,52
EG,EG,,,,Physical access,,,92
CA,,,,,LAN access,,,62
CA,,,,,Physical access,,,62
US,,,,,,,,92
US,,,,,LAN access,,,62
US,,,,,LAN access,,,52
US,Unknown,,,,,Unknown,,62
US,,,,,,,,92
Unknown,CN,,Backdoor or C2,Download by malware,,,Email,92
US,Unknown,,Web application,,,,,54
US,,,,,LAN access,,,92
US,Unknown,,,,,Victim grounds,,52
US,,,,,Physical access,,,33
US,,,,,LAN access,,,92
US,,,,,,Victim work area,,62
US,Unknown,,Web application,,,,,54
US,,,,,,,,92
UA,UA,,Web application,,,,,00
US,,,,,Unknown,,,62
US,,,,,,,,52
US,Unknown,,,,,,Email,81
VI,,,,,LAN access,,,92
FI,Unknown,,Unknown,,,,,52
CA,,,,,Physical access,,,54
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,62
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,,Email,61
US,,,,,,,,92
US,,,,,,,,92
UA,Unknown,,Backdoor or C2,Email attachment,,,Email,92
US,US,,,,,Personal vehicle,,61
US,,,,,Unknown,,,81
Unknown,Unknown,,,,,,,00
US,Unknown,,Unknown,Unknown,,,,62
US,,,,,LAN access,,,92
Unknown,,,,,,,,00
AU,Unknown,,,,,Victim work area,,62
US,,,,,,,,92
US,Unknown,,Web application,,,,,00
US,,,,,LAN access,,,92
US,Unknown,,Web application,,,,Email,62
US,Unknown,,,,,Victim public area,,44
GB,,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,62
TR,TR,,Unknown,,,,,92
US,LT,,,,,,Email,51
US,,Unknown,,,,,,92
US,Unknown,,,,,Victim public area,,31
HR,RU,,Backdoor or C2,Email attachment,,,Email,00
CA,,,,,,,,54
US,Unknown,,Web application,,,,,51
US,,,,,,,,62
US,,,,,,,,92
US,,,,,,,,92
US,,,,,,,,49
US,,,,,,,,62
CK,Unknown,,Web application,,,,,92
US,Unknown,,,Unknown,,,,92
US,ID,,Web application,,,,,52
US,,,,,,,,92
US,Unknown,,Web application,,,,,51
US,,Unknown,,,,,,92
NZ,,,,,Unknown,,,92
US,Unknown,,,,,Unknown,,62
US,,Unknown,,,,,,62
US,,,,,LAN access,,,92
BR,Unknown,,Backdoor or C2,Email link,,,Email,54
US,Unknown,,Unknown,Direct install,,,,42
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Unknown,,62
US,,,Unknown,,LAN access,,,62
US,Unknown,,,,,Unknown,,62
US,,,,,,,,61
IL,Unknown,,,,,Personal residence,,92
US,Unknown,,,,,Unknown,,62
US,,US,,,,Privileged access,,92
US,RO,,,,,Victim public area,,52
GB,,,,,LAN access,,,92
US,,,,,LAN access,,,62
US,,,,,LAN access,,,92
US,,,,,,,,92
US,,,,,,,,62
US,Unknown,,,,,Partner vehicle,,62
US,,,,,Physical access,,,44
GB,Unknown,,Web application,,,,,42
US,Unknown,,,Unknown,LAN access,,,61
US,Unknown,,Unknown,,,,,62
US,,,,,,,,31
BE,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,Partner vehicle,,62
US,,,,,,,,48
US,,,,,Physical access,,,62
US,Unknown,,,Unknown,,,,33
SE,,US,,,,,,92
US,,Unknown,,,,,,92
GB,,,,,,,,62
US,,,,,,,,56
US,Unknown,,,Unknown,,,Email,62
US,,,,,,,,92
US,,,,,LAN access,,,92
TH,UA,,,,,Other,,52
CA,,,,,LAN access,,,52
US,Unknown,,Web application,,,,,56
US,CN,,,Web drive-by,,,,92
IN,,,,,LAN access,Unknown,,51
US,Unknown,,,,,,,62
US,,,,,,,,92
US,,,,,LAN access,,,62
CA,,,,,,,,62
US,,,,,LAN access,,,62
US,Unknown,,Web application,,,,,62
US,,,,,,,,92
US,Unknown,,Web application,,,,,52
US,,,,,,,,92
US,,,,,Physical access,,,92
US,,,,,,Victim work area,,62
US,Unknown,,Web application,,,,,92
JP,Unknown,,Web application,,,,,33
US,Unknown,,Web application,,,,,81
US,,,,,LAN access,,,11
US,,,,,,,,62
Unknown,Unknown,,,,Physical access,,,62
US,,,,,,Unknown,,72
US,,Unknown,,,Unknown,,,61
US,,,,,,Victim work area,,62
US,,,,,,Privileged access,,92
GB,,,,,LAN access,,,92
US,,,,,Physical access,,,62
US,,,,,LAN access,,,92
AU,CN,,Unknown,,,,,92
