victim.country.,actor.external.country.,actor.partner.country.,action.hacking.vector.,action.malware.vector.,action.misuse.vector.,action.physical.vector.,action.social.vector.,victim.industry2.
GB,,,,,,,,92
US,,,,,,,,62
US,Unknown,,Web application,,,,,42
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
CZ,Unknown,,Web application,,,,,54
GB,GB,,Unknown,,,,,92
US,Unknown,,,,,Unknown,,44
TW,TW,,Web application,,,,,54
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
AU,,,,,Unknown,,,54
US,,,,,,,,92
US,,US,,,,,,92
US,,,,,,,,92
US,Unknown,,Unknown,,,,,62
US,RU,,Desktop sharing,Unknown,,,Email,92
US,,Unknown,,,,,,62
GB,Unknown,,,,,Personal residence,,92
US,,,,,,,,92
US,,Unknown,,,,,,62
US,Unknown,,,,,,,92
US,Unknown,,Web application,,,,Unknown,51
US,,,,,Physical access,,,62
US,,,,,Remote access,,,92
BD,Unknown,,Web application,,,,,92
US,Unknown,,Unknown,Unknown,,,Website,52
US,,,,,,,,92
CA,,,,,Physical access,,,62
US,,,,,,,,92
US,Unknown,,,,,Unknown,,44
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,,,,Victim work area,,92
US,Unknown,,,,,Public facility,,44
US,Unknown,,,,,Unknown,,44
US,,,,,LAN access,,,92
US,,,,,LAN access,,,44
US,,,,,,,,62
BD,IN,,Web application,,,,,92
GB,,,,,,,,92
AM,Unknown,,Web application,,,,,92
US,US,,,,,Victim public area,,52
LU,RU,,Backdoor or C2,Email attachment,,,Email,92
CA,Unknown,,,Unknown,,,Unknown,81
US,Unknown,,,,,Unknown,,62
US,Unknown,,Web application,,,,,33
US,Unknown,,,,,Victim work area,,62
US,,,,,LAN access,,,62
US,Unknown,,,,,,Phone,32
US,,,,,,,,62
US,,,,,,,,62
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,Unknown,,,,53
US,,,,,LAN access,,,62
SG,,SG,,,,,,51
US,Unknown,,,,,Victim work area,,62
US,Unknown,,,,,Unknown,,62
IN,,,,,LAN access,,,33
HK,,,,,,,,92
US,,,,,Other,,,45
US,Unknown,,Unknown,,,,,62
US,Unknown,,,,,Victim work area,,62
NZ,,,,,,,,51
US,,,,,LAN access,,,92
US,Unknown,,Web application,,,,,62
US,,,,,,,,61
US,,,,,LAN access,,,92
US,Unknown,,Other,,,,,54
Unknown,,,,,,,,51
US,,,,,LAN access,,,52
GB,GB,,Web application,,,,,61
US,,,,,Physical access,Partner facility,,72
RU,RU,,Web application,,,,,92
US,,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,92
US,Unknown,,Unknown,Direct install,,,,72
US,,,,,,Victim work area,,62
US,,,,,,,,92
CA,Unknown,,,,,,,92
EC,TR,,Web application,,,,,92
US,Unknown,,Unknown,,,,,61
CA,,,,,LAN access,,,44
US,Unknown,,Web application,,,,,51
KR,KP,,Backdoor or C2,Email attachment,,,Email,54
KR,KP,,Backdoor or C2,Email attachment,,,Email,48
US,Unknown,,,,,Personal vehicle,,62
US,Unknown,,Web application,,,,,51
